9|7|10|0|6 , file disclosure vulnerability information exposure
0|6|7 , cn spoof ssl server arbitrary valid certificate
9|7|10|0|6 , bypass file system access access different file relative path read access
3|9|4|7|6|0|1 ,
9|7|10|0|6 , enable escalation privilege
9|7|10|0|6 , disclose session id share link embed ticket article impersonate agent
3|9|7|6|0|1 , obtain sensitive information
3|9|7|6|0|1 , authentication bypass bypass authentication javascript debugging
3|9|4|7|0|6 , retrieve cleartext password macro injection
3|9|7|6|0|1 , authentication bypass replace start program obtain information smartphone achieve purpose control smartphone
5 , info leak malicious usb device
0|6|7 , cross domain image obtain approximate copy arbitrary image timing attack craft webgl fragment shader
9|7|10|0|6 , gain unauthorized read access
0|6|7 , denial service assertion failure zero length message notify socket
1|0|3|9 , user_id parameter http header impersonate arbitrary exist user
9|7|10|0|6 , arbitrary file deletion admin plugin.php
9|7|10|0|6 , root code execution gain privilege
9|7|10|0|6 , read datum kernel memory location craft wi fi traffic
3|9|4|7|0|6 , discover credential
9|7|10|0|6 , obtain installation path request trail character access non existent resource
0|6|7 , malicious x proxycontextpath x forward context header remote code execution
9|7|10|0|6 , download configuration discover password
0|6|7 , unspecified impact spoof xml external entity
9|7|10|0|6 , obtain sensitive rss feed url ticket datum unspecified vector
9|7|10|0|6 , /brs_netgear_success.html uri obtain administrator username password reset answer
0|6|7 , object injection /htsrv call_plugin.php
0|6|7 , insecure library loading dll hijacking escalation privilege
0|6|7 , overwritten arbitrary file
9|7|10|0|6 , hardcode account obtain unspecified device access
0|6|7 , insecure library loading dll hijacking arbitrary code execution
9|7|10|0|6 , obtain potentially sensitive tomcat stack trace information non printing character cookie /classes/
9|7|10|0|6 , local privilege escalation insecure permission
0|9 , cross origin resource sharing cor restricted resource web page request domain outside domain
0|6|7 , add unsigned yum repository man middle malicious server inject malicious rpm package users system
0|6|7 , real time monitoring rtmt read delete arbitrary file craft url
0|6|7 , allocation failure denial service craft file
9|7|10|0|6 , information disclosure query network nt domain
10|3 ,
9|7|10|0|6 , bypass intend value load remote content message discover e mail recipient ip address html email message
0|6|7 , improper input validation escalation privilege
10 , generate craft h1 h2 compromise signing round obtain sensitive information party
2 , quarantine sysinfo file clear text
0|6|7 , arbitrary code execution memory disclosure
9|7|10|0|6 , hijack environment variable
9|7|10|0|6 , obtain sensitive plugin installation information miss permission check xml json api endpoint
0|6|7|9 , unauthorized memory access
9|7|10|0|6 , local privilege escalation globally create directory subdirectory root file system change permission exist directory
0|6|7 , integer overflow denial service memory corruption crafted literal run
0|6|7 , delete arbitrary file symlink attack directory /var lib php5/.
1|0|3|9 , spoof vulnerability properly handle web request
4|0|6|7 , undocumented service access
9|7|10|0|6 , information disclosure vpn authentication credential improperly secure storage location
0|6|7 , array index error gain privilege msm_ioctl_server msm_server_send_ctrl
0|6|7 , opj_dwt_calc_explicit_stepsizes function supply craft input decomposition level buffer overflow system availability
10|3 , unencrypted master key improper input validation local information disclosure
0|6|7 , denial service system crash craft journal filesystem
0|6|7 , denial service craft command parameter hardware component write operation
0|6|7 , bypass security restriction specially craft request update email template password reset
9|7|10|0|6 , gain escalate privilesge improper application permission
0|6|7 , untrusted search path gain privilege trojan horse dll
0|6|7 , hidden notification improper input validation local escalation privilege notify overlay app
0|6|7 , write operation inadequate checking symbolic link
0|6|7 , incorrect configuration security setting
9|7|10|0|6 , incorrect permission delete customer detail
9|7|10|0|6 , information disclosure
0|6|7 , predictable path /tmp/.deepin clone mount/<block dev basename helper::temporarymountdevice temporarily mount file system root prepare symlink enter mount point subsequent unmount file system
0|6|7 , invalid input denial service application crash craft file
0|6|7|9 , set access policy rule unspecified vector
0|6|7|9 , bypass intend ip address access api request exist token
0|6|7 , memory corruption unexpected system termination corrupt kernel memory
0|6|7 , denial service lack check dict data type
0|6|7 , denial service bsod unspecified impact validate input value
4|0|6|7 , hard code credential password cryptographic key outbound communication external component encryption internal datum
9|7|10|0|6 , obtain sensitive information system memory unspecified vector
0|6|7 , query bind query binding result return return unexpected result
0|6|7 , intent redirection access contact information
0|6|7 , missing check js download arbitrary file craft html page
0|6|7 , read write machine specific register msr execute arbitrary ring-0 code
9|7|10|0|6 , access control list acl prevent access read configuration property
9|7|10|0|6 , debug logging aka debug cns obtain sensitive information read unspecified file
0|6|7 , denial service server crash craft distinguished dn mod operation request
0|6|7 , untrusted search path gain privilege trojan horse dll unspecified directory
0|6|7 , untrusted search path gain privilege trojan horse dll unspecified directory
0|6|7 , remote code execution properly validate input authenticate user guest operating hyper v remote code execution
9|7|10|0|6 , mwdoc read arbitrary file unspecified vector
4|0|6|7 ,
4|0|6|7 , authorization bypass access obr host
1|3 ,
0|6|7 , validate x.509 certificate manual explore proxy feature spoof ssl server arbitrary certificate
5 , consume excessive memory
9|7|10|0|6 , improper authorization improper permission setting certain file create large number virtual machine vm process exhaust system resource new vm unavailable
2 , man the- sniffing injection packet creation fully privileged new user capture sensitive information
3|9|7|6|0|1 , spoof address bar authentication information userinfo field url 204 aka content
9|7|10|0|6 , send environment variable secret key sensitive value network intercept secret key user
