7|9|6|0|10 , local privilege escalation
7|6|0 , access link file high privilege file
7|6|0 , denial service abort
3|9|6|1|4|0 , replay issue replay /bin webserver
7|9|6|0|10 , obtain sensitive information username validity
7|6|9|0 , elevation privilege execute arbitrary code compromise privileged process
7|6|0 , unspecified impact
7|6|0 , trick kata runtime unmounte mount point host host dos.
7|9|6|0|10 , obtain sensitive information capture cookie obtain sensitive information
7|6|4|0 , use hard code credential unauthorized local low privileged access
10 , spoof address bar
7|9|6|0|10 , exposure sensitive information capture credential
3 , weak password hashing
7|6|0 , cross origin disclose sensitive user information
7|6|0 , extremely long run computation
3|7|6|9|1|0 , unpermitted access edirectory service
9|8 , download arbitrary file attacker server execute
7|9|6|0|10 , information disclosure
7|6|0 , man- denial service
7|9|6|0|10 , obtain sensitive information
7|6|9|0 , denial service daemon outage obtain sensitive information modify datum unspecified client traffic
7|9|6|0|10 , obtain installation path
7|6|0 , crlf injection
7|9|6|0|10 , interpretation conflict obtain sensitive information modify datum
7|6|0 , spoof url bar
7|6|0 , denial service impact availability core functionality recover system
7|9|6|0|10 , access genie_ping.htm
3|7|6|9|1|0 , delegate user credential authenticate client
7|6|0 , denial service process crash
7|6|0 , execute arbitrary command
7|6|0 , denial service application crash hang
7|6|0 , remote code execution
10 , bind callenhancementservice unauthorized access status
7|6|0 , crlf injection inject arbitrary smtp command crlf sequence
7|6|0 , incorrect udp access control
7|9|6|0|10 , weak expect security
3|7|9|6|4|0 , enable information disclosure
10 , permission bypass local escalation privilege
7|6|0 , escalation privilege
7|9|6|0|10 , obtain sensitive information
7|6|0 , denial service memory cpu consumption
7|9|6|0|10 , obtain sensitive information
7|6|0 , unspecified injection attack
7|6|0 , dll hijack attack
3|9|1|0 , authentication bypass bypass network access control data plane packet injection remove exist access control flow denial rule install flow deny rule bypass intended access control policy
7|9|6|0|10 , access sensitive information affect system access sensitive information software additional reconnaissance attack
7|6|0 , uncontrolled search path element uncontrolled search path element run malicious dll file search path execution arbitrary code
7|6|0 , escalate privilege execute low privileged code arbitrary javascript execute escalate privilege resource
7|9|6|0|10 , read attachment description
3|7|6|9|1|0 , execute arbitrary code denial service application crash
7|6|0 , cairo cairo_surface_get_extents denial service application crash
3|7|6|9|1|0 , authentication bypass exploit circumvent security mechanism currently place gain access system network
7|6|0 , bypass sequence number denial service tcp connection disruption
7|6|0 , invalid memory access program crash
7|9|6|0|10 , affect confidentiality
7|6|0 , location bar creating fake location bar
7|6|0 , change routing setting device
7|9|6|0|10 , information exposure obtain sensitive system information
7|9|6|0|10 , obtain sensitive information
7|6|0 , read arbitrary file denial service
7|9|6|0|10 , argument wrong access unintended high numbered file descriptor
7|9|6|0|10 , discover firebase token
3|7|6|9|1|0 , read sensitive information execute arbitrary code
7|9|6|0|10 , load port data sampling enable information disclosure channel
7|6|0 , information disclosure tampering datum denial service
7|9|6|0|10 , obtain information register device
7|6|0 , denial service
7|6|0 , execute arbitrary command
7|6|0 , open redirect redirect user arbitrary web site phishing attack
7|6|0 , ldap injection
7|9|6|0|10 , disclosure sensitive information vulnerable system
7|9|6|0|10 , obtain sensitive information
7|6|4|0 , commission deltav smart switches
7|6|0 , use character plugin unexpected behavior
7|6|0 , denial service
7|9|6|0|10 , obtain sensitive information user status
7|9|6|0|10 , enumerate user
7|6|4|0 , obtain administrator permission execute arbitrary function
7|6|0 , read arbitrary file xml external entity xxe
7|9|6|0|10 , obtain sensitive information
3|7|6|9|1|0 , change admin username password
7|9|6|0|10 , access api cli getresource secure role property
5 , denial service
7|6|0 , execute arbitrary code dangle pointer
7|6|0 , denial service crash
7|9|6|0|10 , access photo
2 , mitm attack
7|9|6|0|10 , cause information disclosure heap base buffer -read
7|6|0 , leak cross origin datum
7|6|0 , remote code execution
3|7|6|9|1|0 , captcha bypass
7|9|6|0|10 , obtain potentially sensitive information kernel stack memory
7|9|6|0|10 , obtain sensitive information
7|6|0 , denial service memory consumption excessive caching
7|6|0 , resource exhaustion remote denial service
3|7|6|9|1|0 , compromise systems confidentiality integrity manage system service deny
7|6|0 , denial service
7|9|6|0|10 , bypass aslr protection mechanism
7|6|0 , partial denial service dos condition
3|7|6|9|1|0 , bypass authentication perform unauthorized operation
7|9|6|0|10 , error message enumerate valid username
3|7|6|9|1|0 , secure inter node communication
7|9|6|0|10 , obtain sensitive information
3|7|6|9|1|0 , authentication bypass
7|9|6|0|10 , return inconsistent header cross origin activity return default cors header return cors header
9|0 , maintain access account remember cookie
7|9|6|0|10 , obtain sensitive subscriber signal strength information
7|6|0 , argument injection attack
7|6|0 , denial service application crash
3|7|6|9|1|0 , authentication bypass retrieve device configuration
3|7|6|9|1|0 , man middle attack blurtooth establish bonding transport replace bonding overwrite authenticated
3|7|6|9|1|0 , scan github organization repository create correspond pipeline pipeline creation editing create arbitrary commit read arbitrary file content
7|9|6|0|10 , data loss
7|6|0 , arbitrary write
7|6|9|0|10 , denial service information disclosure
7|6|0 , denial service bsod
7|9|6|0|10 , arbitrarily read admin user password
7|6|0 , uncontrolled search path hijack loaded dll
10 , obtain custom permission app local escalation privilege
7|6|0 , denial service deny dependent security feature functionality connect user experience denial service
7|9|6|0|10 , credential leak compute resource credential
7|6|0 , argument injection attack
7|6|9|0 , change arbitrary password
7|6|0 , execute arbitrary operating system command
7|6|0 , command injection attack read write arbitrary file
7|6|0 , command injection local escalation privilege
7|9|6|0|10 , read root crontab file
9|0 , invalidate session impersonate user system
3|7|6|9|1|0 , physically access smartphone bypass limit student mode function
7|6|0 , obtain potentially sensitive information
7|6|0 , read arbitrary file send http request intranet server
7|9|6|0|10 , obtain potentially sensitive information
7|9|6|0|10 , execute arbitrary code
7|6|0 , compromise mysql cluster takeover mysql cluster
7|6|0 , gain privilege
7|6|0 , denial service bsod unspecified impact
7|6|0 , issue network transfer request wrong host
7|6|4|0 , attacker system
7|9|6|0|10 , cleartext password obtain sensitive information
7|6|0 , compromise oracle vm virtualbox impact additional product takeover oracle vm virtualbox
7|9|6|0|10 , bypass authentication
7|6|4|0 , obtain root access
7|9|6|0|10 , read write access
7|6|0 , execute arbitrary code
3|1 , arbitrary local file read
7|9|6|0|10 , obtain sensitive information
7|9|6|0|10 , improper access control view sensitive file
7|6|0 , unspecified impact option injection
7|6|0 , denial service dos condition affected phone active phone drop dos condition
7|6|4|0 ,
7|9|6|0|10 , heap overread
7|9|6|0|10 , improper access control change administrative password affected device
7|6|0 , remote code execution remote code execution
7|9|6|0|10 , ™ s escalate privilege unauthenticated inject session- independent
7|6|0 , overwriting unrelated configuration file
7|6|0 , remote script injection
7|6|0 , send craft ike v2 message invalid memory access denial service
7|9|6|0|10 , write permission manipulate parameter behavior
7|6|0 , search path remote code execution rce run arbitrary code load dll file open malicious directory device
7|6|0 , denial service bsod unspecified impact
7|9|6|0|10 , disclosure suppressed mediawiki username
7|6|0 , improper type cast dos(thread crash remote attack
7|9|6|0|10 , information leak
7|6|9|0 , denial service infinite loop
7|9|6|0|10 , information disclosure information disclosure obtain sensitive information obtain sensitive information
7|9|6|0|10 , obtain sensitive information
3|10 , pass unencrypted request
7|6|9|0 , bypass authentication execute administrative action
7|6|0 , gain privilege
3|7|6|9|1|0 , proprietary code read protection pcrop
7|6|0 , denial service infinite loop
7|6|0 , bypass appliance ability block certain web content url bypass
7|9|6|0|10 , weak file permission alter file
7|9|6|0|10 , obtain sensitive information
7|9|6|0|10 , access arbitrary password file
7|6|9|0 , trigger association arbitrary access point
3|7|6|9|1|0 , read user log
7|6|0 , untrusted search path gain privilege
7|9|6|0|10 ,
7|6|0 , execute arbitrary code denial service memory corruption memory corruption
7|6|0 , clickjacking attack unspecified attack cross frame scripting xfs
7|9|6|0|10 , obtain sensitive information kernel memory denial service infinite loop bounds read
7|6|0 , buffer overflow execute arbitrary code denial service daemon crash
7|9|6|0|10 , read arbitrary query
7|6|0 , denial service segmentation fault stack base buffer overflow
10 , create file gain access file
7|6|0 , write arbitrary file
7|6|0 , remote code execution
7|9|6|0|10 , programmatically disable enable wi fi
9|0 , gain access
7|6|9|0 , bypass virus spam detection
3|7|6|9|1|0 , web authentication bypass authentication bypass device
7|6|0 , execute arbitrary code target os remote code execution
7|6|0 , unauthenticated information disclosure
7|9|6|0|10 , bypass operating system protection gain access datum
7|6|0 , heap overflow deny service privilege escalation
7|6|0 , spoof ssl server
7|9|6|0|10 , read login credential
3|7|9|6|4|0 , attacker gain access appliance database
7|9|6|0|10 , obtain sensitive information
7|9|6|0|10 , information disclosure copy large kernel memory disclose potentially sensitive information
7|9|6|0|10 , bypass intend anonymity feature discover client ip address
7|6|4|0 , access web ui
7|6|0 , write arbitrary file execute arbitrary code
7|9|6|0|10 , iframe manipulation attack gain access authentication credential
