9|10|0|6|7 , file disclosure vulnerability information exposure
3|9|0|6|4|7 , obtain access ssh private key
5 , memory leak
9|10|0|6|7 , gain privilege
9|10|0|6|7 , cleartext password transmission obtain sensitive information
9|10|0|6|7 , obtain list user
0|6|7 , dns rebinding attack
9|10|0|6|7 , cross site scripting xss html sanitization
0|9|6|7 , bypass access restriction
9|10|0|6|7 , overwrite content file elevation privilege
0|6|7 , denial service dos condition management gui cisco db service quit unexpectedly prevent admin access restore normal operation
0|9|6|7 , privilege escalation remove file escalate privilege execute low privileged code
9|10|0|6|7 , create file
3|9|1|0|6|7 , unknown impact attack vector upload arbitrary php code
5 , depletion system memory firepower detection engine ssl decryption memory consumption denial service memory leak denial service dos dos condition
2 , cleartext password
9|10|0|6|7 , api
0|6|7 , execute arbitrary code
0|6|7 , bypass intend restriction
0|6|7 , write arbitrary userspace memory location gain privilege
0|6|7 , gain privilege modify arbitrary fabric interconnect file
9|10|0|6|7 , pre boot authentication obtain sensitive information
5 , denial service memory consumption
0|6|7 , header injection header add
0|6|7 , unrestricted file upload upload execute arbitrary jsp file
0|6|7 , http header injection disclose sensitive information request external resource vulnerable instance
0|6|7 , crlf inject arbitrary http header http response splitting
9|10|0|6|7 , obtain sensitive user credential information
9|10|0|6|7 , affect confidentiality
10|3 , compromise end user account inspect memory access authentication and/or session token replay spoof vpn session gain access
0|6|7 , denial service bsod
0|6|7 , denial service bgp service reset resync
0|6|7 , dns rebinding attack expose ipc function
0|9|6|7 , denial service traffic craft network traffic
9|10|0|6|7 , obtain sensitive information process memory
0|6|7 , denial service system crash
0|6|7 ,
0|6|7 , command injection attack execute arbitrary command root privilege execute arbitrary command
0|6|7 , arbitrary file write inject arbitrary datum gain code execution
3 , use way hash knowledge charging station user account credential dictionary attack
0|6|7 , crash
3|9|0|6|4|7 , override inject wkuserscript use leak password current domain
0|6|7 , reach radio layer place send sms message
0|9|1|3 , spoof user identify
3|9|0|6|4|7 , discover credential userinfoentry
0|6|7 , change ownership permission arbitrary file
9|10|0|6|7 , obtain sensitive kernel memory layout information
9|10|0|6|7 , obtain sensitive information
0|9 , gain access session hijack
5 , login flow java heap exhaustion
9|10|0|6|7 , information disclosure information disclosure
9|10|0|6|7 , information exposure obtain sensitive information
0|6|7 , denial service local access
9|10|0|6|7 , access sensitive information
0|6|7 , write arbitrary file
0|6|7 , pass unexpected input parameter
0|6|7 , send exist cookie wrong server exist cookie leak
9|10|0|6|7 , obtain sensitive information
0|6|7 , denial service daemon hang cpu consumption infinite loop
2 , man middle mitm csrf attack severe severity level apply cross origin resource sharing cor policy request filtering
9|10|0|6|7 , obtain sensitive information
5 , memory leak denial service
9|10|0|6|7 , determine network location webmail user
0|6|7 , plant custom binary execute system permission
3|9|1|0|6|7 , hijack session
9|10|0|6|7 , local privilege escalation
0|6|7 , recursive processing execute arbitrary code
0|6|7 , bypass certain privilege check
3|9|1|0|6|7 ,
9|10|0|6|7 , cleartext http response discover admin user password
0|6|7 , leverage privilege business functionality
0|6|7 , arbitrary code execution
9|10|0|6|7 , information disclosure windows information disclosure
3|9|1|0|6|7 , bypass authentication
0|6|7 , bypass warning dialog execute arbitrary code
9|10|0|6|7 , local malicious application access datum outside
0|6|7 , read portion arbitrary file symlink attack
0|6|7 , execute arbitrary command
3|9|1|0|6|7 , bypass authentication power cycle attack connect device
9|10|0|6|7 , compromise oracle hospitality suite8 unauthorized access critical datum complete access
3|0|6|4|7 , predictable password guess password
0|6|7 , send specially craft packet unavailable
0|6|7 , dll search path privilege escalation
0|6|7 , denial service cpu consumption gui voice outage
3|9|1|0|6|7 , adaptive security device management asdm remote management bypass authentication
0|6|4|7 ,
0|6|7 , gain privilege denial service memory corruption
9|10|0|6|7 , obtain sensitive information
0|6|7 , control ` pretty ` option pug compiler achieve remote code execution
0|6|7 , denial service bsod unspecified impact
9|10|0|6|7 , download confidential file
0|6|4|7 , encrypt phi
0|6|7 , denial service host cpu consumption
0|6|7 , denial service device restart
5 , denial service
0|6|7 , create overwrite arbitrary file code execution
0|6|7 , inject execute arbitrary command administrative privilege execute arbitrary command administrative privilege
9|10|0|6|7 , bypass operating system protection isolate application datum
0|6|7 , arbitrary file write
0|6|7 , crash application
0|6|4|7 , use hard code credential
9|10|0|6|7 , start stop log outgoing incoming text message
0|6|7 , phishing attack
3|9|1|0|6|7 , execute arbitrary code
0|6|7 , apply mark web download bypass os level control
0|9|1|3 , denial of- dhcp ack spoofing attack forge pair forcerenew reconfigure server
0|6|7 , spoof header pass application
9|10|0|6|7 , read arbitrary contact card information
9|10|0|6|7 , information disclosure read arbitrary kernel address
0|6|7 , execute arbitrary os command
0|6|7 , execute arbitrary code dns query vulnerability
10 , escalate debug interface permission
0|6|7 , denial service application crash
0|6|7 , start denial service obtain session id
0|6|7 , execute arbitrary code
3|9|1|0|6|7 , read write setting parameter device
0|9|6|7 , obtain uri permission
0|6|7 , denial service bounds read crash
3|9|1|0|6|2|7 , encryption bypass broadcast forge beacon frame disable 802.11
0|6|7 , denial service
9|10|0|6|7 , obtain sensitive information
0|6|7 , denial service bsod unspecified impact
9|10|0|6|7 , access kudu table datum create kudu external table change underlie kudu table mapping existing non external kudu table external
9|10|0|6|7 , insecure permission
2 , mitm attack remote code execution rce
0|6|7 , frame form tag injection phish user phish user group credential credit card
0|6|7 , untrusted search path execute arbitrary code
9|10|0|6|7 , read arbitrary file
0|6|7 , denial service restart
0|6|4|7 , hardcoded web panel login password
5 , mac learning force obligatory ethernet flooding non local destination network performance view content packet
9|10|0|6|7 , access datum outside permission level access sensitive datum
9|10|0|6|7 , obtain sensitive register content information
0|6|7 , man the- spoof security gateway obtain sensitive information
0|6|7 , trigger hash collision denial service cpu consumption
9|10|0|6|7 , register account manipulate read datum
0|6|7 , improper input validation denial service remote code execution
10 , overwrite system file gain escalate privilege
0|6|7 , denial service bounds array access
9|10|0|6|7 , obtain password hash
3|9|0|6|4|7 , access sensitive information access sensitive information
0|6|7 , use free issue
0|6|7 , double free vulnerability denial service application crash
9|10|0|6|7 , send attachment bypass authorization read upload file
0|6|7 , bypass intend network filter protection mechanism
3|9|0|6|4|7 , password configuration file password configuration file gain access sensitive information
0|6|7 , dll search order execute arbitrary code
0|9|6|7 , create database user
0|6|7 , overwrite arbitrary file
3|9|1|0|6|7 , denial service file handle exhaustion mainapp hang
3|9|1|0|6|7 , authentication bypass
0|6|7 , enable information disclosure physical access
9|10|0|6|7 , security issue annotation expose metric metric label inadvertently expose secret content metric
9|10|0|6|7 , list image filename
9|10|0|6|7 , obtain sensitive information
9|10|0|6|7 , obtain sensitive information
3|9|1|0|6|7 , bypass oap authentication restriction execute oap command
3|9|1|0|6|7 , authentication bypass disable passcode authentication attack interest
3|9|1|0|6|7 , bypass authentication gain administrative access
0|6|7 , denial service crash
9|10|0|6|7 , utilize api key belong higher privileged user
0|6|7 , execute arbitrary code
0|6|7 , dos. web framework crash
0|6|7 , device hang reboot remote denial service
3|9|1|0|6|7 , basic authentication disable basic authentication
3|9|1|0|6|7 , bypass authentication gain administrative access
0|6|7 , kernel panic system availability
0|6|7 , denial service
9|10|0|6|7 , track user private browsing read html5 application cache data
9|10|0|6|7 , obtain sensitive information
0|9|6|7 , denial service gps signal acquisition delay
0|6|7 , bypass intend access restriction
9|10|0|6|7 , obtain sensitive information
9|10|0|6|7 , obtain sensitive information client
0|6|7 , untrusted search path local privilege escalation
0|6|7 , open redirect redirect user arbitrary web site phishing attack
9|10|0|6|7 , discover authentication token token hijacking
9|10|0|6|7 , obtain sensitive information
10 , privilege escalation
9|10|0|6|7 , bypass intend restriction
9|10|0|6|7 , access sensitive system credential
0|6|7 , denial service device reload
0|6|7 , execute arbitrary code
9|10|0|6|7 , obtain sensitive information
9|10|0|6|7 , connect database use
5 , attempt excessive memory allocation
0|6|7 , untrusted search path create modify dynamic link library dll load runtime execute arbitrary code
0|9 , session fixation hijack web session
0|6|4|7 ,
3|9|1|0|6|7 , trigger display arbitrary text workstation replay attack
9|10|0|6|7 , discover test platform authentication credential
9|10|0|6|7 , bounds read guest leak information host denial service view desktop leak information host denial service
0|6|7 , denial service database server abend
0|6|7 , information disclosure replace certain configuration file dynamic library information disclosure
0|9|6|7 , execute arbitrary java method denial service disk consumption
0|6|7 , denial service dos condition affect system restart unexpectedly dos condition
0|6|7 , denial service unspecified impact
0|6|7 , denial service panic
9|10|0|6|7 , pin guess obtain network access
0|6|7 , php remote file inclusion execute arbitrary php code
0|6|7 , place malicious file directory arbitrary remote code execution rce
0|6|7 , cpu exhaustion remote denial service
9|10|0|6|7 , gain privilege
2 , cleartext transmission sensitive information disclosure user credential
3|9|1|0|6|7 , bypass system manager mode access device
9|10|0|6|7 , obtain sensitive information
3|9|1|0|6|7 , steal credential read email man middle mitm
9|10|0|6|7 , mount attack system
3|9|0|6|4|7 , leak user
0|6|7 , execute arbitrary code denial service application crash
3|9|0|6|4|7 , log smartserver web user interface
0|6|7 , access admin panel
0|6|7 , denial service daemon outage
9|10|0|6|7 , timing attack extract pixel value
